id,full_name,Year_Drafted,Overall_Pick,Round,Drafted_by
1629660,Ty Jerome,2019.0,24.0,1.0,Philadelphia 76ers
1628993,Alize Johnson,2018.0,50.0,2.0,Indiana Pacers
1629661,Cameron Johnson,2019.0,11.0,1.0,Minnesota Timberwolves
201949,James Johnson,2009.0,16.0,1.0,Chicago Bulls
1629640,Keldon Johnson,2019.0,29.0,1.0,San Antonio Spurs
1626169,Stanley Johnson,2015.0,8.0,1.0,Detroit Pistons
203999,Nikola Jokic,2014.0,41.0,2.0,Denver Nuggets
1627745,Damian Jones,2016.0,30.0,1.0,Golden State Warriors
1626145,Tyus Jones,2015.0,24.0,1.0,Cleveland Cavaliers
201599,DeAndre Jordan,2008.0,35.0,2.0,Los Angeles Clippers
202709,Cory Joseph,2011.0,29.0,1.0,San Antonio Spurs
1629662,Mfiondu Kabengele,2019.0,27.0,1.0,Brooklyn Nets
1626163,Frank Kaminsky,2015.0,9.0,1.0,Charlotte Hornets
202683,Enes Kanter,2011.0,3.0,1.0,Utah Jazz
1628379,Luke Kennard,2017.0,12.0,1.0,Detroit Pistons
203077,Michael Kidd-Gilchrist,2012.0,2.0,1.0,Charlotte Bobcats
202688,Brandon Knight,2011.0,8.0,1.0,Detroit Pistons
1628995,Kevin Knox II,2018.0,9.0,1.0,New York Knicks
1627788,Furkan Korkmaz,2016.0,26.0,1.0,Philadelphia 76ers
2594,Kyle Korver,2003.0,51.0,2.0,New Jersey Nets
1629066,Rodions Kurucs,2018.0,40.0,2.0,Brooklyn Nets
1628398,Kyle Kuzma,2017.0,27.0,1.0,Brooklyn Nets
203897,Zach LaVine,2014.0,13.0,1.0,Minnesota Timberwolves
1627746,Skal Labissiere,2016.0,28.0,1.0,Sacramento Kings
203087,Jeremy Lamb,2012.0,12.0,1.0,Houston Rockets
1629641,Romeo Langford,2019.0,14.0,1.0,Boston Celtics
1627774,Jake Layman,2016.0,47.0,2.0,Orlando Magic
1627747,Caris LeVert,2016.0,20.0,1.0,Indiana Pacers
201584,Courtney Lee,2008.0,22.0,1.0,Orlando Magic
203458,Alex Len,2013.0,5.0,1.0,Phoenix Suns
202695,Kawhi Leonard,2011.0,15.0,1.0,Indiana Pacers
203086,Meyers Leonard,2012.0,11.0,1.0,Portland Trail Blazers
203081,Damian Lillard,2012.0,6.0,1.0,Portland Trail Blazers
1629642,Nassir Little,2019.0,25.0,1.0,Portland Trail Blazers
1626172,Kevon Looney,2015.0,30.0,1.0,Golden State Warriors
201572,Brook Lopez,2008.0,10.0,1.0,New Jersey Nets
